article_key,amendment_reference,amendment_decree_number,amendment_decree_date_hijri,amendment_scope_short,amendment_note_source_status,requires_manual_merge_flag,merge_decision_status,merge_notes
labor_law_art_073,BOE_AMENDMENT_NOTE,,5 / 6 / 1436,amended_article_flag,BOE_CHANGED_CLASS,yes,NOT_STARTED,
labor_law_art_074,BOE_AMENDMENT_NOTE,,5 / 6 / 1436,amended_article_flag,BOE_CHANGED_CLASS,yes,NOT_STARTED,
labor_law_art_074,BOE_AMENDMENT_NOTE,م/46,5 / 6 / 1436,amended_article_flag,BOE_NOTE_PRESENT,yes,NOT_STARTED,
labor_law_art_074,BOE_AMENDMENT_NOTE,م/44,,amended_article_flag,BOE_NOTE_PRESENT,yes,NOT_STARTED,
labor_law_art_075,BOE_AMENDMENT_NOTE,,5 / 6 / 1436,amended_article_flag,BOE_CHANGED_CLASS,yes,NOT_STARTED,
labor_law_art_075,BOE_AMENDMENT_NOTE,م/44,,amended_article_flag,BOE_NOTE_PRESENT,yes,NOT_STARTED,
labor_law_art_076,BOE_AMENDMENT_NOTE,,5 / 6 / 1436,amended_article_flag,BOE_CHANGED_CLASS,yes,NOT_STARTED,
labor_law_art_077,BOE_AMENDMENT_NOTE,,5 / 6 / 1436,amended_article_flag,BOE_CHANGED_CLASS,yes,NOT_STARTED,
labor_law_art_078,BOE_AMENDMENT_NOTE,,5 / 6 / 1436,article_abolished_by_amendment,BOE_CHANGED_CLASS,yes,NOT_STARTED,
labor_law_art_080,BOE_AMENDMENT_NOTE,,5 / 6 / 1436,amended_article_flag,BOE_CHANGED_CLASS,yes,NOT_STARTED,
labor_law_art_083,BOE_AMENDMENT_NOTE,,5 / 6 / 1436,amended_article_flag,BOE_CHANGED_CLASS,yes,NOT_STARTED,
labor_law_art_090,BOE_AMENDMENT_NOTE,,5 / 6 / 1436,amended_article_flag,BOE_CHANGED_CLASS,yes,NOT_STARTED,
labor_law_art_101,BOE_AMENDMENT_NOTE,,5 / 6 / 1436,amended_article_flag,BOE_CHANGED_CLASS,yes,NOT_STARTED,
labor_law_art_107,BOE_AMENDMENT_NOTE,م/44,,amended_article_flag,BOE_NOTE_PRESENT,yes,NOT_STARTED,
labor_law_art_113,BOE_AMENDMENT_NOTE,,5 / 6 / 1436,amended_article_flag,BOE_CHANGED_CLASS,yes,NOT_STARTED,
labor_law_art_113,BOE_AMENDMENT_NOTE,م/44,,amended_article_flag,BOE_NOTE_PRESENT,yes,NOT_STARTED,
labor_law_art_115,BOE_AMENDMENT_NOTE,,5 / 6 / 1436,amended_article_flag,BOE_CHANGED_CLASS,yes,NOT_STARTED,
labor_law_art_131,BOE_AMENDMENT_NOTE,م/5,7 / 1 / 1442,mukarrar_added_by_amendment,BOE_NOTE_PRESENT,yes,NOT_STARTED,
labor_law_art_137,BOE_AMENDMENT_NOTE,,5 / 6 / 1436,amended_article_flag,BOE_CHANGED_CLASS,yes,NOT_STARTED,
labor_law_art_149,BOE_AMENDMENT_NOTE,,5 / 6 / 1436,amended_article_flag,BOE_CHANGED_CLASS,yes,NOT_STARTED,
labor_law_art_149,BOE_AMENDMENT_NOTE,م/5,7 / 1 / 1442,article_deleted_by_amendment,BOE_NOTE_PRESENT,yes,NOT_STARTED,
labor_law_art_150,BOE_AMENDMENT_NOTE,م/5,7 / 1 / 1442,article_deleted_by_amendment,BOE_NOTE_PRESENT,yes,NOT_STARTED,
labor_law_art_151,BOE_AMENDMENT_NOTE,,5 / 6 / 1436,amended_article_flag,BOE_CHANGED_CLASS,yes,NOT_STARTED,
labor_law_art_151,BOE_AMENDMENT_NOTE,م/44,,amended_article_flag,BOE_NOTE_PRESENT,yes,NOT_STARTED,
labor_law_art_152,BOE_AMENDMENT_NOTE,,5 / 6 / 1436,amended_article_flag,BOE_CHANGED_CLASS,yes,NOT_STARTED,
labor_law_art_155,BOE_AMENDMENT_NOTE,م/134,27 / 11 / 1440,amendment_note_present,BOE_NOTE_PRESENT,yes,NOT_STARTED,
labor_law_art_156,BOE_AMENDMENT_NOTE,م/134,27 / 11 / 1440,article_abolished_by_amendment,BOE_NOTE_PRESENT,yes,NOT_STARTED,
